First Name,Last Name,Date of Birth,IdentificationNumber,Address,Phone Number,Email,Password,Checking Account Number,Savings Account Number,Credit Account Number,Checking Starting Balance,Savings Starting Balance,Credit Starting Balance
Mickey,Mouse,"May 15, 1935",1,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,MickeyMouse@disney.com,Mouse*Mickey!987,1000,2000,3000,2342.15,4740.09,-127.93
Donald,Duck,"February 24, 1987",2,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,DonaldDuck@disney.com,Duck*Donald!987,1001,2001,3001,690.9599999999999,2580.68,-1655.49
Minnie,Mouse,"July 16, 2000",3,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,MinnieMouse@disney.com,Mouse*Minnie!987,1002,2002,3002,1041.48,1925.6399999999999,-12.25
Goofy,Disney,"May 27, 1987",4,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,GoofyDisney@disney.com,Disney*Goofy!987,1003,2003,3003,320.89,3463.89,-1185.25
Pluto,Disney,"July 5, 1928",5,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,PlutoDisney@disney.com,Disney*Pluto!987,1004,2004,3004,634.94,2494.2400000000002,-1876.16
Chip,Disney,"January 10, 1930",6,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,ChipDisney@disney.com,Disney*Chip!987,1005,2005,3005,1877.97,2776.39,-260.34
Dale,Disney,"July 30, 1935",7,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,DaleDisney@disney.com,Disney*Dale!987,1006,2006,3006,503.15,1717.73,-1737.37
Cinderella,Disney,"September 30, 2000",8,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,CinderellaDisney@disney.com,Disney*Cinderella!987,1007,2007,3007,1286.8400000000001,1000.31,-365.57
Ariel,Disney,"January 20, 1975",9,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,ArielDisney@disney.com,Disney*Ariel!987,1008,2008,3008,591.47,3970.69,-1078.24
Jasmine,Disney,"July 1, 1980",10,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,JasmineDisney@disney.com,Disney*Jasmine!987,1009,2009,3009,1317.32,4062.1400000000003,-269.68
Aladdin,Disney,"February 19, 1928",11,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,AladdinDisney@disney.com,Disney*Aladdin!987,1010,2010,3010,1140.9499999999998,4474.28,-650.4
Simba,Disney,"May 14, 1953",12,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,SimbaDisney@disney.com,Disney*Simba!987,1011,2011,3011,14.55,611.68,-1167.04
Mufassa,Disney,"October 13, 1964",13,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,MufassaDisney@disney.com,Disney*Mufassa!987,1012,2012,3012,813.0300000000001,2554.09,-619.2
Aurora,Disney,"April 15, 2013",14,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,AuroraDisney@disney.com,Disney*Aurora!987,1013,2013,3013,890.54,3179.02,-183.05
Peter,Pan,"April 21, 1974",15,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,PeterPan@disney.com,Pan*Peter!987,1014,2014,3014,555.75,3836.96,-1907.84
Woody,Disney,"February 17, 1983",16,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,WoodyDisney@disney.com,Disney*Woody!987,1015,2015,3015,110.87,2412.03,-1125.79
Buzz,Lightyear,"July 24, 2016",17,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,BuzzLightyear@disney.com,Lightyear*Buzz!987,1016,2016,3016,485.59,4377.1,-1092.58
Jafar,Aladdin,"January 14, 1968",18,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,JafarAladdin@disney.com,Aladdin*Jafar!987,1017,2017,3017,1218.98,4602.46,-1709.0
Ursela,Mermaid,"March 29, 1946",19,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,UrselaMermaid@disney.com,Mermaid*Ursela!987,1018,2018,3018,1593.59,1987.82,-1158.03
Beast,Disney,"December 26, 1964",20,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,BeastDisney@disney.com,Disney*Beast!987,1019,2019,3019,916.2399999999999,238.46,-950.78
Belle,Disney,"March 23, 1939",21,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,BelleDisney@disney.com,Disney*Belle!987,1020,2020,3020,1334.67,2726.2000000000003,-704.51
