Address,Identification Number,First Name,Date of Birth,Checking Account Number,Credit Account Number,Phone Number,Checking Starting Balance,Last Name,Savings Starting Balance,Password,Credit Starting Balance,Savings Account Number,Email,Credit Max
"1313 Disneyland Dr, Anaheim, CA 92802",11,Aladdin,"February 19, 1928",1010,3010,(714) 781-4636,1166.11,Disney,4607.57,Disney*Aladdin!987,-650.40,2010,AladdinDisney@disney.com,4949
"500 W. University Ave, El Paso, TX 79968",37,Ali,"September 17, 1946",1036,3036,(915) 747-5000,176.05,Abed,483.40,Abed*Ali!987,-1129.45,2036,AliAbed@disney.com,8752
"500 W. University Ave, El Paso, TX 79968",45,Andrea,"July 31, 1954",1044,3044,(915) 747-5008,1272.38,Carrera Pio,691.02,Carrera Pio*Andrea!987,-78.10,2044,AndreaCarrera Pio@disney.com,9258
"500 W. University Ave, El Paso, TX 79968",73,Andrew,"November 6, 1952",1072,3072,(915) 747-5036,1808.89,Rodriguez,2626.11,Rodriguez*Andrew!987,-1946.16,2072,AndrewRodriguez@disney.com,8140
"500 W. University Ave, El Paso, TX 79968",42,Angel,"April 30, 1989",1041,3041,(915) 747-5005,1182.34,Armendariz,3435.35,Armendariz*Angel!987,-1247.97,2041,AngelArmendariz@disney.com,4191
"500 W. University Ave, El Paso, TX 79968",70,Angel,"November 28, 1988",1069,3069,(915) 747-5033,1058.40,Ramos,4616.47,Ramos*Angel!987,-1751.70,2069,AngelRamos@disney.com,8973
"500 W. University Ave, El Paso, TX 79968",39,Antonio,"November 10, 1998",1038,3038,(915) 747-5002,1081.07,Aguirre,2022.42,Aguirre*Antonio!987,-474.31,2038,AntonioAguirre@disney.com,5214
"1313 Disneyland Dr, Anaheim, CA 92802",9,Ariel,"January 20, 1975",1008,3008,(714) 781-4636,638.35,Disney,4056.58,Disney*Ariel!987,-1078.24,2008,ArielDisney@disney.com,9409
"1313 Disneyland Dr, Anaheim, CA 92802",14,Aurora,"April 15, 2013",1013,3013,(714) 781-4636,1025.01,Disney,3179.02,Disney*Aurora!987,-183.05,2013,AuroraDisney@disney.com,3253
"1313 Disneyland Dr, Anaheim, CA 92802",20,Beast,"December 26, 1964",1019,3019,(714) 781-4636,1031.08,Disney,238.46,Disney*Beast!987,-950.78,2019,BeastDisney@disney.com,7985
