Last Name,Checking Starting Balance,Phone Number,Savings Starting Balance,Checking Account Number,Credit Account Number,Address,First Name,Password,Credit Starting Balance,Savings Account Number,Email,Credit Max,Date of Birth,Identification Number
Mouse,1750.81,(714) 781-4636,1993.42,1000,3000,"1313 Disneyland Dr, Anaheim, CA 92802",Mickey,Mouse*Mickey!987,-615.19,2000,MickeyMouse@disney.com,6634,"March 16, 1940",1
Duck,1168.81,(714) 781-4636,21.17,1001,3001,"1313 Disneyland Dr, Anaheim, CA 92802",Donald,Duck*Donald!987,-1812.21,2001,DonaldDuck@disney.com,4333,"August 29, 1950",2
Mouse,1137.41,(714) 781-4636,2029.16,1002,3002,"1313 Disneyland Dr, Anaheim, CA 92802",Minnie,Mouse*Minnie!987,-16.34,2002,MinnieMouse@disney.com,3874,"June 13, 1958",3
Disney,1333.97,(714) 781-4636,3377.42,1003,3003,"1313 Disneyland Dr, Anaheim, CA 92802",Goofy,Disney*Goofy!987,-744.50,2003,GoofyDisney@disney.com,7484,"July 3, 1955",4
Disney,834.56,(714) 781-4636,1037.29,1004,3004,"1313 Disneyland Dr, Anaheim, CA 92802",Pluto,Disney*Pluto!987,-954.21,2004,PlutoDisney@disney.com,4381,"October 13, 1946",5
Disney,1655.92,(714) 781-4636,2689.85,1005,3005,"1313 Disneyland Dr, Anaheim, CA 92802",Chip,Disney*Chip!987,-837.95,2005,ChipDisney@disney.com,5742,"March 22, 1971",6
Disney,806.79,(714) 781-4636,3989.97,1006,3006,"1313 Disneyland Dr, Anaheim, CA 92802",Dale,Disney*Dale!987,-221.59,2006,DaleDisney@disney.com,3358,"January 28, 1965",7
Disney,1676.62,(714) 781-4636,3722.76,1007,3007,"1313 Disneyland Dr, Anaheim, CA 92802",Cinderella,Disney*Cinderella!987,-848.71,2007,CinderellaDisney@disney.com,3810,"November 6, 2001",8
Disney,474.54,(714) 781-4636,1844.19,1008,3008,"1313 Disneyland Dr, Anaheim, CA 92802",Ariel,Disney*Ariel!987,-415.70,2008,ArielDisney@disney.com,4999,"July 9, 1999",9
Disney,1999.11,(714) 781-4636,2279.08,1009,3009,"1313 Disneyland Dr, Anaheim, CA 92802",Jasmine,Disney*Jasmine!987,-1482.47,2009,JasmineDisney@disney.com,5695,"December 12, 2015",10
Disney,210.79,(714) 781-4636,2984.04,1010,3010,"1313 Disneyland Dr, Anaheim, CA 92802",Aladdin,Disney*Aladdin!987,-335.49,2010,AladdinDisney@disney.com,6850,"March 21, 1972",11
Disney,361.86,(714) 781-4636,3340.91,1011,3011,"1313 Disneyland Dr, Anaheim, CA 92802",Simba,Disney*Simba!987,-1531.06,2011,SimbaDisney@disney.com,9307,"January 22, 2016",12
Disney,92.27,(714) 781-4636,1603.71,1012,3012,"1313 Disneyland Dr, Anaheim, CA 92802",Mufassa,Disney*Mufassa!987,-450.06,2012,MufassaDisney@disney.com,4609,"November 4, 1992",13
